nombre_ips,promedio
"CLINICA LA MERCED BARRANQUILLA SAS",1679.07
"E.S.E. HOSPITAL SANTANDER EMPRESA SOCIAL DEL ESTADO",817.04
"EMPRESA SOCIAL DEL ESTADO HOSPITAL DE EL TAMBO CAUCA",739.53
"01 ESE CENTRO DE SALUD CON CAMAS DE PALMAR DE VARELA",450.63
"INSTITUCIÓN PRESTADORA DE SERVICIOS DE SALUD "IPS UNIVERSITARIA"",421.91
"ESE HOSPITAL JOSE MARIA CORDOBA",411.07
"NACERSANO IPS",200.98
"MEDICINA ALTA COMPLEJIDAD S.A.",199.23
"E.S.E. HOSPITAL SAN JUAN BAUTISTA",197.64
"E.S.E HOSPITAL LA MISERICORDIA",151.18
"SOCIEDAD CLINICA PAMPLONA LTDA.",108.96
"ORAL CENTER INTERMEDICA",105.69
"Hospital Departamental de Granada",102.45
"CENTRO CITODIAGNOSTICO GINECOLOGICO DE ANTIOQUIA LIMITADA",100.00
"FUNDACIÓN PARA LA INVESTIGACIÓN Y DESARROLLO DE LA MEDICINA",100.00
"CARDIOESTUDIO SAS",100.00
"REUMATOLOGYA S A",100.00
"UNIDAD ECODIAGNÓSTICA LIMITADA",100.00
"ENRIQUE PRADA W S.A.S.",100.00
"CLINICA DE LA COSTA S.A.S.",100.00
