departamento,municipio,total_ips,promedio_indicador
"Valle del Cauca",Caicedonia,1,817.04
Cauca,"El Tambo",1,739.53
Antioquia,Concepción,1,411.07
Atlántico,"Palmar De Varela",3,407.92
Tolima,Chaparral,1,197.64
Antioquia,Angelópolis,1,151.18
"Norte de Santander",Pamplona,1,108.96
Meta,Granada,1,102.45
Caldas,Risaralda,1,98.77
"La Guajira","El Molino",1,97.99
Huila,Pital,1,97.59
Antioquia,Yondó,2,95.16
Atlántico,Suan,1,83.14
Tolima,Ibagué,1,79.21
Santander,Lebríja,1,77.06
Cauca,Popayán,1,75.33
Atlántico,Sabanalarga,19,71.10
Huila,Neiva,3,71.09
Antioquia,Apartadó,24,70.51
Atlántico,Barranquilla,449,69.48
Antioquia,Envigado,32,69.17
Magdalena,"San Sebastián De Buenavista",1,67.32
Antioquia,Medellín,504,66.94
"La Guajira",Uribia,1,66.55
Boyacá,Tunja,2,65.21
Caquetá,Florencia,1,63.56
Antioquia,Concordia,1,60.99
"La Guajira","San Juan Del Cesar",1,59.35
"Bogotá D.C.","Bogotá, D.C.",12,57.97
Antioquia,Rionegro,33,57.68
Atlántico,"Puerto Colombia",23,57.02
Antioquia,Sabaneta,11,56.68
Bolívar,Cartagena,3,56.63
Antioquia,Caucasia,12,55.98
Antioquia,"Puerto Berrío",6,55.74
Santander,Vélez,1,55.11
Cesar,"San Alberto",1,54.04
Santander,"Puerto Wilches",1,52.81
Antioquia,Bello,18,51.08
Antioquia,"San José De La Montaña",1,50.90
Caldas,Manizales,4,50.75
Antioquia,Itagui,17,50.68
Antioquia,Belmira,1,50.07
Tolima,Guamo,1,48.90
Atlántico,Soledad,54,48.78
Quindío,Calarca,1,48.44
Cundinamarca,"La Mesa",1,46.94
Putumayo,"San Miguel",1,46.75
Antioquia,Retiro,4,44.27
Bolívar,Magangué,1,43.33
"La Guajira",Maicao,1,43.12
Atlántico,"Santo Tomás",4,42.66
Atlántico,Malambo,6,41.50
Cesar,"El Paso",1,41.24
Atlántico,Luruaco,2,41.04
Antioquia,Tarso,1,40.92
Antioquia,Caldas,4,40.37
